[2023-03-20 19:18:24:936][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 641 ms
[2023-03-20 19:18:24:953][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-03-20 19:18:24:999][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-03-20 19:18:24:1001][main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:Stockdividend'
[2023-03-20 19:18:24:1072][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-03-20 19:18:24:1090][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
[2023-03-20 19:18:24:1137][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-03-20 19:18:24:1173][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2023-03-20 19:18:24:1428][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-03-20 19:18:24:1432][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-03-20 19:18:24:1698][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-03-20 19:18:24:1858][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
[2023-03-20 19:18:24:1883][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@238a7e3d, org.springframework.security.web.context.SecurityContextPersistenceFilter@50841932, org.springframework.security.web.header.HeaderWriterFilter@28d97205, org.springframework.security.web.authentication.logout.LogoutFilter@78805df3, com.example.stockdividend.security.JwtAuthenticationFilter@5fd31df7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@68c47cf9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7e4dddee, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7ed5cc8c, org.springframework.security.web.session.SessionManagementFilter@16b2d182, org.springframework.security.web.access.ExceptionTranslationFilter@1e4b70c6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7f6a6d46]
[2023-03-20 19:18:25:2178][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-03-20 19:18:25:2187][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-03-20 19:18:25:2196][main] INFO  c.e.s.StockdividendApplication - Started StockdividendApplication in 2.125 seconds (JVM running for 2.406)
